episode_id,frame_index,global_index,task_progress,gripper_before,gripper_after,delta_gripper,transition_direction
0,50,50,0.19455252918287938,-1.0,1.0,2.0,negative_to_positive
0,129,129,0.5019455252918288,1.0,-1.0,-2.0,positive_to_negative
0,183,183,0.7120622568093385,-1.0,1.0,2.0,negative_to_positive
0,240,240,0.933852140077821,1.0,-1.0,-2.0,positive_to_negative
1,62,320,0.24701195219123506,-1.0,1.0,2.0,negative_to_positive
1,134,392,0.5338645418326693,1.0,-1.0,-2.0,positive_to_negative
1,187,445,0.7450199203187251,-1.0,1.0,2.0,negative_to_positive
1,234,492,0.9322709163346613,1.0,-1.0,-2.0,positive_to_negative
2,47,557,0.19183673469387755,-1.0,1.0,2.0,negative_to_positive
2,122,632,0.49795918367346936,1.0,-1.0,-2.0,positive_to_negative
2,176,686,0.7183673469387755,-1.0,1.0,2.0,negative_to_positive
2,228,738,0.9306122448979591,1.0,-1.0,-2.0,positive_to_negative
3,63,819,0.21951219512195122,-1.0,1.0,2.0,negative_to_positive
3,129,885,0.44947735191637633,1.0,-1.0,-2.0,positive_to_negative
3,179,935,0.6236933797909407,-1.0,1.0,2.0,negative_to_positive
3,195,951,0.6794425087108014,1.0,-1.0,-2.0,positive_to_negative
3,197,953,0.686411149825784,-1.0,1.0,2.0,negative_to_positive
3,208,964,0.7247386759581882,1.0,-1.0,-2.0,positive_to_negative
3,224,980,0.7804878048780488,-1.0,1.0,2.0,negative_to_positive
3,270,1026,0.9407665505226481,1.0,-1.0,-2.0,positive_to_negative
4,50,1094,0.205761316872428,-1.0,1.0,2.0,negative_to_positive
4,128,1172,0.5267489711934157,1.0,-1.0,-2.0,positive_to_negative
4,177,1221,0.7283950617283951,-1.0,1.0,2.0,negative_to_positive
4,226,1270,0.9300411522633745,1.0,-1.0,-2.0,positive_to_negative
5,54,1342,0.19424460431654678,-1.0,1.0,2.0,negative_to_positive
5,122,1410,0.43884892086330934,1.0,-1.0,-2.0,positive_to_negative
5,177,1465,0.6366906474820144,-1.0,1.0,2.0,negative_to_positive
5,189,1477,0.6798561151079137,1.0,-1.0,-2.0,positive_to_negative
5,207,1495,0.7446043165467626,-1.0,1.0,2.0,negative_to_positive
5,261,1549,0.9388489208633094,1.0,-1.0,-2.0,positive_to_negative
6,57,1624,0.18874172185430463,-1.0,1.0,2.0,negative_to_positive
6,128,1695,0.423841059602649,1.0,-1.0,-2.0,positive_to_negative
6,181,1748,0.5993377483443708,-1.0,1.0,2.0,negative_to_positive
6,204,1771,0.6754966887417219,1.0,-1.0,-2.0,positive_to_negative
6,224,1791,0.7417218543046358,-1.0,1.0,2.0,negative_to_positive
6,285,1852,0.9437086092715232,1.0,-1.0,-2.0,positive_to_negative
7,51,1921,0.2073170731707317,-1.0,1.0,2.0,negative_to_positive
7,127,1997,0.516260162601626,1.0,-1.0,-2.0,positive_to_negative
7,179,2049,0.7276422764227642,-1.0,1.0,2.0,negative_to_positive
7,229,2099,0.9308943089430894,1.0,-1.0,-2.0,positive_to_negative
8,50,2167,0.2109704641350211,-1.0,1.0,2.0,negative_to_positive
8,124,2241,0.5232067510548524,1.0,-1.0,-2.0,positive_to_negative
8,174,2291,0.7341772151898734,-1.0,1.0,2.0,negative_to_positive
8,220,2337,0.9282700421940928,1.0,-1.0,-2.0,positive_to_negative
9,49,2404,0.19140625,-1.0,1.0,2.0,negative_to_positive
9,130,2485,0.5078125,1.0,-1.0,-2.0,positive_to_negative
9,191,2546,0.74609375,-1.0,1.0,2.0,negative_to_positive
9,239,2594,0.93359375,1.0,-1.0,-2.0,positive_to_negative
