episode_id,frame_index,global_index,normalized_progress,progress_bin_index,progress_bin,prompt_class,translation_distance,orientation_control_distance,gripper_absolute_difference,arm_only_6d_distance,full_7d_distance,gripper_regime_flip_rate_across_prompts
0,27,27,0.1050583657587548,0,0–20%,Contradictory,0.48461889956256454,0.026760633775874433,0.006830173730850242,0.485427197062991,0.485490121413497,0.0
0,27,27,0.1050583657587548,0,0–20%,Paraphrase,0.39447016634769744,0.022423278318004343,0.004867982864379883,0.39514213931799985,0.3951965202256099,0.0
0,27,27,0.1050583657587548,0,0–20%,Unrelated,0.6762170698722227,0.053819364888353226,0.012517100572586093,0.678730867459422,0.6788954885203516,0.0
0,128,128,0.4980544747081712,2,40–60%,Contradictory,0.0733822040790553,0.009091565611179915,0.004041886329650879,0.07428085045594368,0.07441885971403364,0.0
0,128,128,0.4980544747081712,2,40–60%,Paraphrase,0.07775267899434332,0.007627520158486237,0.6279604613780976,0.0783196707675056,0.6487673137575264,0.3
0,128,128,0.4980544747081712,2,40–60%,Unrelated,0.12277592402654433,0.013955490690433494,0.8196872889995575,0.12430499431861282,0.8579987919487646,0.4
1,64,322,0.2549800796812749,1,20–40%,Contradictory,0.13340860607764884,0.02410984192257759,0.20865573883056637,0.13612270257880338,0.30479468837652146,0.1
1,64,322,0.2549800796812749,1,20–40%,Paraphrase,0.09432263665212468,0.015433836511104129,0.007509201765060447,0.09619637469764136,0.09662919303047744,0.0
1,64,322,0.2549800796812749,1,20–40%,Unrelated,0.15249485727804435,0.02736498042015036,0.616949462890625,0.155321767938213,0.7027832015248869,0.3
1,223,481,0.8884462151394422,4,80–100%,Contradictory,0.28010581316275984,0.03927141074064674,0.7985566437244416,0.2830474870609758,0.9676031372837961,0.4
1,223,481,0.8884462151394422,4,80–100%,Paraphrase,0.19088392413698682,0.022487967467585405,0.40532522797584536,0.1926176657276298,0.545442314105638,0.2
1,223,481,0.8884462151394422,4,80–100%,Unrelated,0.333805463649663,0.03968009252311055,0.8121567845344544,0.3364394234757239,1.0337962633503561,0.4
2,127,637,0.5183673469387755,2,40–60%,Contradictory,0.0682124348662808,0.018112222533554698,0.004546940326690696,0.07142667932334025,0.07160905987791147,0.0
2,127,637,0.5183673469387755,2,40–60%,Paraphrase,0.06806257889856235,0.015779431724043627,0.20781222581863404,0.07041435833413737,0.24683354660640408,0.1
2,127,637,0.5183673469387755,2,40–60%,Unrelated,0.1040178327145423,0.024980297309398745,0.4066754043102264,0.10770121905809708,0.4693392383668654,0.2
2,217,727,0.8857142857142857,4,80–100%,Contradictory,0.18248017493369456,0.027942648491023004,0.6052109181880951,0.18489090233207653,0.7270217532120863,0.3
2,217,727,0.8857142857142857,4,80–100%,Paraphrase,0.1400914292992638,0.02077921605941326,1.399795949459076,0.1417891213205289,1.433533408810667,0.7
2,217,727,0.8857142857142857,4,80–100%,Unrelated,0.20831619632947565,0.029645479203494307,1.0072300434112549,0.21067254180162828,1.107864656409352,0.5
3,38,794,0.1324041811846689,0,0–20%,Contradictory,0.24481647053100541,0.02229003691361093,0.00822138786315918,0.24620706481392046,0.24637296482073962,0.0
3,38,794,0.1324041811846689,0,0–20%,Paraphrase,0.2034024736292137,0.021432753370580662,0.005352175235748291,0.20467722466890184,0.20478353089079365,0.0
3,38,794,0.1324041811846689,0,0–20%,Unrelated,0.4611661846476388,0.060748528307415804,0.016920512914657626,0.4656130219606019,0.466043696047608,0.0
3,208,964,0.7247386759581882,3,60–80%,Contradictory,0.1819473786954226,0.017680289695807004,0.004831802845001199,0.1829875296937478,0.18307656672248113,0.0
3,208,964,0.7247386759581882,3,60–80%,Paraphrase,0.15140465650994533,0.012618097512385759,0.006074273586273171,0.15206132738750175,0.1522335083111794,0.0
3,208,964,0.7247386759581882,3,60–80%,Unrelated,0.24779972856949986,0.02477477484403877,0.008988231420516824,0.24917796302975814,0.24940184393687548,0.0
4,127,1171,0.522633744855967,2,40–60%,Contradictory,0.09605563008955555,0.019803252006829763,0.0057010650634765625,0.09856140895097518,0.09886637336770149,0.0
4,127,1171,0.522633744855967,2,40–60%,Paraphrase,0.05722864820545622,0.013672032593815475,0.005942100286483776,0.05930257623469524,0.05972867667922144,0.0
4,127,1171,0.522633744855967,2,40–60%,Unrelated,0.11692081849872267,0.032290121914089934,0.012791007757186935,0.12294877672358026,0.12400942360160479,0.0
4,224,1268,0.9218106995884774,4,80–100%,Contradictory,0.044767292735219,0.008861577408701837,0.004017311334610007,0.04598093282336134,0.046341512506502015,0.0
4,224,1268,0.9218106995884774,4,80–100%,Paraphrase,0.029322748724193715,0.0067840777141104,0.00625983476638795,0.030206440969308673,0.031049272201910488,0.0
4,224,1268,0.9218106995884774,4,80–100%,Unrelated,0.0395966228125746,0.008651559558055015,0.007783740758895863,0.04081430137629457,0.04207485909068527,0.0
5,27,1315,0.0971223021582733,0,0–20%,Contradictory,0.3710127548085794,0.04106285209831459,0.005418694019317649,0.3735357127102049,0.3735949952125958,0.0
5,27,1315,0.0971223021582733,0,0–20%,Paraphrase,0.2908853271856997,0.032624990979056,0.0038745403289795364,0.2930796987947158,0.2931418655427531,0.0
5,27,1315,0.0971223021582733,0,0–20%,Unrelated,0.5989188534527805,0.06737270952512205,0.01619582772254945,0.6032906864330492,0.6036200807320068,0.0
5,230,1518,0.8273381294964028,4,80–100%,Contradictory,0.5835393007956489,0.026965774244509393,0.6038370668888093,0.5844106226445437,0.9401144137631758,0.3
5,230,1518,0.8273381294964028,4,80–100%,Paraphrase,0.20157959256691343,0.015439938490693573,0.00534797310829177,0.20260034415981515,0.20281995658005192,0.0
5,230,1518,0.8273381294964028,4,80–100%,Unrelated,1.3152540509816977,0.045120199722165154,1.3948847830295565,1.31611811956375,2.044011040259028,0.7
6,84,1651,0.2781456953642384,1,20–40%,Contradictory,0.17682256066999355,0.015385352503559482,0.008758676052093517,0.17768555997630142,0.17800250352867625,0.0
6,84,1651,0.2781456953642384,1,20–40%,Paraphrase,0.10513125983218623,0.007165132658317713,0.004395246505737305,0.10542880764363785,0.10560894739004374,0.0
6,84,1651,0.2781456953642384,1,20–40%,Unrelated,0.3091999775501629,0.015447004165465242,0.21274287104606623,0.3096957996610761,0.44461799034524485,0.1
6,229,1796,0.7582781456953642,3,60–80%,Contradictory,0.24053188380241833,0.01702488489897035,1.0141342759132386,0.2413014114966235,1.0747331695617173,0.5
