episode_id,frame_index,global_index,episode_length,max_frame_index,normalized_progress,selection_slot,selection_reason,pilot_order,existing_correct_vs_paraphrase_distance,existing_correct_vs_contradictory_distance,existing_correct_vs_unrelated_distance,existing_expected_order_holds,existing_order_violation_score,existing_mean_altered_distance,near_gripper_transition,nearest_gripper_transition_frame,nearest_gripper_transition_offset,nearest_gripper_transition_direction,phase_a_20_40_observation,noise_seed,noise_hash
0,27,27,258,257,0.1050583657587548,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.10,1,0.33092320320465657,0.5991849731954048,0.5470407385234718,False,0.052144234671932965,0.49238297164117767,False,50,-23,negative_to_positive,False,7100027,sha256:6357e83ab1d4d19b
0,128,128,258,257,0.4980544747081712,nearest_gripper_transition,nearest available stored observation to an expert gripper-command transition (offset -1 frames),0,0.08565579230392484,0.10063895242695266,0.10937503187912906,True,0.0,0.09855659220333551,True,129,-1,positive_to_negative,False,7100128,sha256:d418642eb340f5fc
1,64,322,252,251,0.2549800796812749,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.30,2,0.23406186701193557,0.12450055876746836,2.0592255691112467,False,0.1095613082444672,0.8059293316302168,True,62,2,negative_to_positive,True,7110064,sha256:cee87adbbefe914a
1,223,481,252,251,0.8884462151394422,curated_failure_case,existing deterministic demo failure/counterexample selection: late_stage_strong_sensitivity,0,0.18058042805913493,2.0161896648596715,2.0242983265062873,True,0.0,1.4070228064750312,False,234,-11,positive_to_negative,False,7110223,sha256:e241a344e6f20c10
2,127,637,246,245,0.5183673469387755,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.50,0,0.0855233456269505,0.08983552630707047,0.10270844722783022,True,0.0,0.09268910638728373,True,122,5,positive_to_negative,False,7120127,sha256:14f5f2550b1ed20b
2,217,727,246,245,0.8857142857142857,ordering_counterexample,strongest existing aggregate-order violation in this episode,0,2.0084686853741935,0.13468338562946328,0.2735963210353519,False,1.8737852997447302,0.8055827973463363,False,228,-11,positive_to_negative,False,7120217,sha256:0d96645364721fc6
3,208,964,288,287,0.7247386759581882,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.70,0,0.26094361377304154,0.10665799065868313,0.25837428723167616,False,0.1542856231143584,0.20865863055446696,True,208,0,positive_to_negative,False,7130208,sha256:3a9e85495d0a8362
3,38,794,288,287,0.1324041811846689,ordinary_control,ordinary control nearest the episode median altered-condition distance among ordering-consistent rows,0,0.20316635615609357,0.2910363118947164,0.4225381314099677,True,0.0,0.3055802664869259,False,63,-25,negative_to_positive,False,7130038,sha256:20f78d499b78c367
4,224,1268,244,243,0.9218106995884774,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.90,0,0.038643969158467704,0.04721920708510473,0.025088043910249293,False,0.022131163174855435,0.03698374005127391,True,226,-2,positive_to_negative,False,7140224,sha256:eaa03c93770d6c95
4,127,1171,244,243,0.522633744855967,nearest_gripper_transition,nearest available stored observation to an expert gripper-command transition (offset -1 frames),0,0.0815441099286411,0.12656946961380008,0.27869583275551624,True,0.0,0.16226980409931915,True,128,-1,positive_to_negative,False,7140127,sha256:f31e9fd3103091da
5,27,1315,279,278,0.0971223021582733,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.10,0,0.3148630616886884,0.4293468013237828,0.4738006639816477,True,0.0,0.4060035089980396,False,54,-27,negative_to_positive,False,7150027,sha256:de900d29d04e17a4
5,230,1518,279,278,0.8273381294964028,curated_failure_case,existing deterministic demo failure/counterexample selection: large_unrelated_change,0,0.30137124035598495,2.157131252889733,2.3065726496350414,True,0.0,1.588358380960253,False,207,23,negative_to_positive,False,7150230,sha256:727d9925731cdbf0
6,84,1651,303,302,0.2781456953642384,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.30,0,0.10190161426744221,0.16268110055637658,2.141327845689783,True,0.0,0.8019701868378672,False,57,27,negative_to_positive,True,7160084,sha256:b65ebe80d48b7914
6,229,1796,303,302,0.7582781456953642,ordering_counterexample,strongest existing aggregate-order violation in this episode,0,2.064586188914183,0.06477943511416877,2.0494692228849343,False,1.9998067538000144,1.3929449489710954,True,224,5,negative_to_positive,False,7160229,sha256:b25f3c9bc585e008
7,126,1996,247,246,0.5121951219512195,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.50,0,0.03644831887435217,0.1368665282611433,0.09920198590242202,False,0.03766454235872127,0.09083894434597249,True,127,-1,positive_to_negative,False,7170126,sha256:18cb72405715d3dd
7,89,1959,247,246,0.3617886178861789,phase_a_20_40_representative,Phase A 20–40% observation nearest the Phase A median Unrelated full distance,0,0.09541558266382728,0.08071934686317425,2.1068185045214944,False,0.014696235800653032,0.7609844780161653,False,51,38,negative_to_positive,True,7170089,sha256:bd027dde059881f9
8,163,2280,238,237,0.6877637130801688,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.70,0,0.08844993410950144,0.15263476580024157,0.4778656115145511,True,0.0,0.23965010380809804,False,174,-11,negative_to_positive,False,7180163,sha256:dc5aedcf44c7cc36
8,103,2220,238,237,0.4345991561181435,ordinary_control,ordinary control nearest the episode median altered-condition distance among ordering-consistent rows,0,0.0855146445934874,0.20488099490503986,0.9836452409238825,True,0.0,0.42468029347413655,False,124,-21,positive_to_negative,False,7180103,sha256:3253d17e6f0db0a2
9,228,2583,257,256,0.890625,coverage_anchor,coverage anchor nearest predetermined normalized progress target 0.90,0,0.1165442121715039,2.018779675677666,2.0291952657234087,True,0.0,1.3881730511908597,False,239,-11,positive_to_negative,False,7190228,sha256:abc06a69ae82f8de
