progress_bin,progress_bin_index,progress_interval,comparison_condition,comparison_label,n_observations,n_unique_episodes,gripper_regime_threshold,gripper_regime_rule,gripper_regime_flip_count,gripper_regime_flip_percentage,mean_translation_distance,median_translation_distance,episode_cluster_ci95_low_translation_distance,episode_cluster_ci95_high_translation_distance,mean_orientation_control_distance,median_orientation_control_distance,episode_cluster_ci95_low_orientation_control_distance,episode_cluster_ci95_high_orientation_control_distance,mean_gripper_absolute_difference,median_gripper_absolute_difference,episode_cluster_ci95_low_gripper_absolute_difference,episode_cluster_ci95_high_gripper_absolute_difference,mean_arm_only_6d_distance,median_arm_only_6d_distance,episode_cluster_ci95_low_arm_only_6d_distance,episode_cluster_ci95_high_arm_only_6d_distance,mean_full_7d_distance,median_full_7d_distance,episode_cluster_ci95_low_full_7d_distance,episode_cluster_ci95_high_full_7d_distance,mean_full_7d_on_flip_observations,mean_full_7d_excluding_flip_observations
0–20%,0,"[0.0, 0.2)",paraphrase,Paraphrase,41,10,0.0,opening if value < 0; closing if value >= 0,0,0.0,0.18440425304802394,0.14427157937550186,0.16699499304923318,0.19798422205362876,0.014060817880924368,0.011335185601411824,0.011659810338854467,0.016562882842196522,0.006068542236235114,0.004160106182098278,0.0035804242489742466,0.009729568089048084,0.18505893474515117,0.14569526029986926,0.16749325526598474,0.1982534561399137,0.18559364059311267,0.14569563720652803,0.16820910136225112,0.19915649469041088,,0.18559364059311267
0–20%,0,"[0.0, 0.2)",contradictory,Contradictory,41,10,0.0,opening if value < 0; closing if value >= 0,4,9.75609756097561,0.2612125703139031,0.23562565943632874,0.22925610130703764,0.2913037112439987,0.01816146081877271,0.01481304783060352,0.015184835093692102,0.02120875231736776,0.2016096245951769,0.005817532539367676,0.055777446106076295,0.3474696713976744,0.2620970207321331,0.2365111139626265,0.22967372220782473,0.29330445694437235,0.434305185090304,0.237053928403606,0.2945465474025706,0.585053270832554,2.026935295254839,0.2621289569644082
0–20%,0,"[0.0, 0.2)",unrelated,Unrelated,41,10,0.0,opening if value < 0; closing if value >= 0,0,0.0,0.372617787118609,0.3677727387275311,0.3395200074422896,0.40231155115727474,0.07140429053854146,0.06978742642822222,0.0647085699583505,0.07911946287114424,0.011931015223991594,0.009561419486999512,0.008930830614215159,0.015828649885952503,0.38153110936770257,0.37005323440083715,0.34963699652849367,0.4119209531403394,0.38201023277995083,0.37012505000418183,0.3484403307422299,0.4116704996815467,,0.38201023277995083
20–40%,1,"[0.2, 0.4)",paraphrase,Paraphrase,39,10,0.0,opening if value < 0; closing if value >= 0,0,0.0,0.12416523195778058,0.10488669816844093,0.09782591548547494,0.1636805112068724,0.007625282806178906,0.005535385579975372,0.006093663334993958,0.009565152803858088,0.005427490442227072,0.004310250282287598,0.004137367755174629,0.007052859812974872,0.12446927326959854,0.10507942136853418,0.09790881126905522,0.16409889234451894,0.12469060915676564,0.10511780858484024,0.09860756646165587,0.1651453327715063,,0.12469060915676564
20–40%,1,"[0.2, 0.4)",contradictory,Contradictory,39,10,0.0,opening if value < 0; closing if value >= 0,3,7.6923076923076925,0.1719110340913793,0.12321624496234299,0.1350366834663323,0.21991228964498916,0.01899238401873616,0.016497889944367752,0.017800874247847445,0.02020134395708324,0.16022055271344307,0.004854261875152366,0.006537973400300846,0.3139413576095532,0.17336293120200533,0.12449614710826014,0.1355862423563665,0.22045843916241661,0.30560094121132564,0.12450055876746836,0.1797611017369624,0.4425313934960537,2.0368134190691185,0.16133323472317618
20–40%,1,"[0.2, 0.4)",unrelated,Unrelated,39,10,0.0,opening if value < 0; closing if value >= 0,17,43.58974358974359,0.6957216805647085,0.7077518381004453,0.6182652582585467,0.7676611773801043,0.04643279313582596,0.04305982349170234,0.03820489293816374,0.05393967627235761,0.881960867307125,0.024040043354034313,0.5630497029423714,1.2305524016420044,0.698335450519205,0.70990460530553,0.6207913289298908,0.7689524671543871,1.3118069176538627,1.0653816004532375,1.0649939181224741,1.5839535540824572,2.151367971190049,0.6630551944668099
40–60%,2,"[0.4, 0.6)",paraphrase,Paraphrase,41,10,0.0,opening if value < 0; closing if value >= 0,0,0.0,0.11469774131027761,0.09719916552132753,0.10175263631898718,0.13061597662147822,0.019166386333590295,0.018699977841691376,0.0160373957998052,0.022052307435095883,0.007617286065729653,0.0048545002937316895,0.00513485858171449,0.011811115406453626,0.11666126160230893,0.09776935588202806,0.10380544378605519,0.13282814829543785,0.11728930930976758,0.09795327029605452,0.10396044489129533,0.13330901103457857,,0.11728930930976758
40–60%,2,"[0.4, 0.6)",contradictory,Contradictory,41,10,0.0,opening if value < 0; closing if value >= 0,3,7.317073170731707,0.1814578641649879,0.12773192319083898,0.14518728380946827,0.21693140801060407,0.023468060980918824,0.023441998098836254,0.01939066375774344,0.027302141755699026,0.14966775731342594,0.004702627658843994,0.04645985442641209,0.2994220718741417,0.18382578824649706,0.13003333742832293,0.1482359871080425,0.2205561312512333,0.306254647576796,0.13004783338255727,0.17891755716799032,0.4604769057475457,2.0045733996131694,0.17217685136339803
40–60%,2,"[0.4, 0.6)",unrelated,Unrelated,41,10,0.0,opening if value < 0; closing if value >= 0,7,17.073170731707318,0.4381851114326188,0.3404312448124002,0.35130207882439585,0.5140089767916612,0.033533044209597164,0.029085829589107173,0.02665583186807659,0.0415576875118857,0.3497353734039679,0.01128101348876931,0.15384491948144777,0.5563627463951707,0.440105556122119,0.3410484667330165,0.35262993107505247,0.5192171927903945,0.6772538504329656,0.3416455519324393,0.48176500679803264,0.868970327232108,2.1450454182487992,0.3750614688238234
60–80%,3,"[0.6, 0.8)",paraphrase,Paraphrase,39,10,0.0,opening if value < 0; closing if value >= 0,3,7.6923076923076925,0.18276867069901354,0.139073957725249,0.16346054923462297,0.2045477274394234,0.01693603130181396,0.015052055850532053,0.015067380793801531,0.0191077626079629,0.15943792691597572,0.004159808158874401,0.006393319554626909,0.3220436664004075,0.18399641500241445,0.14024041032991735,0.16541002806996202,0.20598313981937283,0.31396009236998124,0.14024075547167805,0.1749069664320399,0.4695854075786123,2.046964754796607,0.1695430371677624
60–80%,3,"[0.6, 0.8)",contradictory,Contradictory,39,10,0.0,opening if value < 0; closing if value >= 0,2,5.128205128205128,0.23294932554792278,0.19014172474576665,0.1853560641528845,0.2879445546840257,0.018060183070459913,0.014785707091333663,0.014596036612763765,0.021649237175208648,0.10555866589912999,0.004195511341094749,0.004312499270245829,0.25077838458120827,0.23487587619497807,0.19074914988045236,0.1878600720681934,0.28963337148547785,0.3264412065832093,0.20403484078966333,0.1978847001758101,0.4757063783492104,1.9802563566822138,0.23704579306434417
60–80%,3,"[0.6, 0.8)",unrelated,Unrelated,39,10,0.0,opening if value < 0; closing if value >= 0,7,17.94871794871795,0.4225216066866355,0.42983529978877805,0.35797390952312585,0.4784953556535688,0.033011373476917176,0.02189254590268715,0.02496359336959286,0.041918722515255434,0.36779789588390255,0.010479867458343506,0.1601544041931629,0.573477655267104,0.42470431731078007,0.43049452966225676,0.36077217498491226,0.4801927748610093,0.7053749639707663,0.49038273485539285,0.5212384656650135,0.8962869565501326,2.077389900362339,0.40524669663510976
80–100%,4,"[0.8, 1.0]",paraphrase,Paraphrase,40,10,0.0,opening if value < 0; closing if value >= 0,3,7.5,0.1367056735024266,0.11382156765851578,0.11974826457869306,0.15478774358253522,0.014865139128157326,0.013309653764494063,0.012853820322883184,0.01674659603608187,0.1566078811883926,0.004808276891708374,0.005150694698095303,0.30876032657921315,0.1378339626453458,0.11673673164990936,0.12157623718610601,0.156013492622335,0.2756367541299746,0.11698065238488839,0.1456428471874135,0.4178134580341491,2.041114433713401,0.13248991524483195
80–100%,4,"[0.8, 1.0]",contradictory,Contradictory,40,10,0.0,opening if value < 0; closing if value >= 0,5,12.5,0.19482235699932426,0.12194779007781105,0.1516509415998283,0.2483244041587267,0.01907522205348152,0.014695215692857162,0.01522499404521714,0.02355727522901972,0.25526396185159683,0.0034721791744232178,0.10488778531551363,0.40468835696578026,0.1964391089772775,0.12277220223249785,0.15271546283579193,0.25099138589110725,0.3962622351357196,0.12281510756367707,0.2523142547691546,0.5396414167033369,2.0781557387188423,0.15599173462384502
80–100%,4,"[0.8, 1.0]",unrelated,Unrelated,40,10,0.0,opening if value < 0; closing if value >= 0,16,40.0,0.3960864653127965,0.30633166193964767,0.34713536249099053,0.4544616331705593,0.02663211502045504,0.02201908483945694,0.021549536789564956,0.03155758223585007,0.8076636046171188,0.017657965421676636,0.6117335658147931,1.0050458931922912,0.3980724689385864,0.3091228391850729,0.350135681968652,0.4553874688078442,0.979345057513893,0.34501197121424154,0.8170780712398253,1.1599688527172267,2.1245761050565304,0.21585769248546818
