task_stage,task_stage_index,comparison_condition,metric,count,mean,median,std,mean_ci95_low,mean_ci95_high,bootstrap_replicates,episode_cluster_count
0–20%,0,Paraphrase,translation_language_distance,41,0.18440425304802394,0.14427157937550186,0.08864181099902893,0.16730927345881694,0.1978345922500113,2000,10
0–20%,0,Paraphrase,rotation_language_distance,41,0.014060817880924368,0.011335185601411824,0.008651240265930504,0.011698192188964238,0.01645266166483498,2000,10
0–20%,0,Paraphrase,gripper_language_difference,41,0.006068542236235114,0.004160106182098278,0.01015708834138136,0.003564773441425452,0.009716769439599869,2000,10
0–20%,0,Paraphrase,full_action_language_distance,41,0.18559364059311267,0.14569563720652803,0.0884573657181661,0.16875624289024932,0.19943035121914984,2000,10
0–20%,0,Contradictory,translation_language_distance,41,0.2612125703139031,0.23562565943632874,0.14941187406513629,0.22834487978004933,0.2911951268886497,2000,10
0–20%,0,Contradictory,rotation_language_distance,41,0.01816146081877271,0.01481304783060352,0.011377507686976736,0.015218443147925514,0.02107060874992576,2000,10
0–20%,0,Contradictory,gripper_language_difference,41,0.2016096245951769,0.005817532539367676,0.6016973606462951,0.05523869177190272,0.35001380185528497,2000,10
0–20%,0,Contradictory,full_action_language_distance,41,0.434305185090304,0.237053928403606,0.550540683688088,0.2916607941052333,0.5789900148091081,2000,10
0–20%,0,Unrelated,translation_language_distance,41,0.372617787118609,0.3677727387275311,0.15469070847964336,0.3407051765703488,0.40139702394880156,2000,10
0–20%,0,Unrelated,rotation_language_distance,41,0.07140429053854146,0.06978742642822222,0.034401060758245325,0.06423606676647182,0.07933534323578127,2000,10
0–20%,0,Unrelated,gripper_language_difference,41,0.011931015223991594,0.009561419486999512,0.011387246302812699,0.008961402750795818,0.015858052913553855,2000,10
0–20%,0,Unrelated,full_action_language_distance,41,0.38201023277995083,0.37012505000418183,0.15280466219574537,0.34958775627966165,0.4102909712552543,2000,10
20–40%,1,Paraphrase,translation_language_distance,39,0.12416523195778058,0.10488669816844093,0.09751545591680741,0.09835293403203724,0.16340328916958036,2000,10
20–40%,1,Paraphrase,rotation_language_distance,39,0.007625282806178906,0.005535385579975372,0.005583961094430613,0.006121866970647012,0.009455387375134756,2000,10
20–40%,1,Paraphrase,gripper_language_difference,39,0.005427490442227072,0.004310250282287598,0.00590306080521368,0.004197014446713406,0.007124086297475338,2000,10
