analysis_family,condition,metric,count,mean,median,std,q25,q75
agreement_with_recorded_expert_action,Correct,translation_error_l2,200,0.34023734076156587,0.3060385865352591,0.17989605991734314,0.1990476532220642,0.42915754558071756
agreement_with_recorded_expert_action,Correct,rotation_error_l2,200,0.07078632207668076,0.06071036452465005,0.043398184158262555,0.03821220478162152,0.09530664039836337
agreement_with_recorded_expert_action,Correct,gripper_absolute_error,200,0.20846111983060836,0.009391516447067205,0.5970018343966361,0.004350528120994568,0.01574091613292694
agreement_with_recorded_expert_action,Correct,overall_action_mae,200,0.1166225940622514,0.08251268057418719,0.1024518538661715,0.05604325187492315,0.11854147536879672
agreement_with_recorded_expert_action,Correct,translation_cosine_similarity,196,0.7096065106019769,0.9086027158951675,0.44636191827129834,0.6967392356304916,0.9643904633007614
agreement_with_recorded_expert_action,Paraphrase,translation_error_l2,200,0.36325101607808435,0.33270926771594045,0.19728866006486223,0.2097870440043249,0.4796449324885915
agreement_with_recorded_expert_action,Paraphrase,rotation_error_l2,200,0.07155914336808765,0.06316295121762487,0.04309719869993214,0.03977163005949369,0.09617957369375435
agreement_with_recorded_expert_action,Paraphrase,gripper_absolute_error,200,0.2289387282729149,0.009439229965209905,0.6239464317751132,0.005119651556015015,0.017785653471946883
agreement_with_recorded_expert_action,Paraphrase,overall_action_mae,200,0.12477195511865176,0.0867733494004434,0.10864582928876051,0.060909521400130194,0.1321220007313448
agreement_with_recorded_expert_action,Paraphrase,translation_cosine_similarity,196,0.6943065994693738,0.902756837500653,0.4517203575984239,0.6321640358842113,0.9653149656629177
agreement_with_recorded_expert_action,Contradictory,translation_error_l2,200,0.41464084784879984,0.3575358073265066,0.22897597183559984,0.24537858013092703,0.54597297277952
agreement_with_recorded_expert_action,Contradictory,rotation_error_l2,200,0.07202515419902086,0.06408203775174882,0.04243939284855688,0.04041671742854433,0.0997044836639487
agreement_with_recorded_expert_action,Contradictory,gripper_absolute_error,200,0.2763364088535309,0.008650690317153875,0.6789675378331086,0.004285335540771484,0.015403598546981812
agreement_with_recorded_expert_action,Contradictory,overall_action_mae,200,0.14282289465571268,0.09888464441922093,0.11704895741423878,0.06592942114262504,0.16411829394097108
agreement_with_recorded_expert_action,Contradictory,translation_cosine_similarity,196,0.6086226905923009,0.8355959181930981,0.4975022835797283,0.4529083559109748,0.9500184481334639
agreement_with_recorded_expert_action,Unrelated,translation_error_l2,200,0.6152105339858747,0.6272390388388811,0.3081136377750153,0.35471624256109324,0.8451917891375966
agreement_with_recorded_expert_action,Unrelated,rotation_error_l2,200,0.09273557232048106,0.08212704833642814,0.05470618985735721,0.05053695335558952,0.11847160675624835
agreement_with_recorded_expert_action,Unrelated,gripper_absolute_error,200,0.6562852427363396,0.013750076293945312,0.9341335739127079,0.005365118384361239,1.988704428076744
agreement_with_recorded_expert_action,Unrelated,overall_action_mae,200,0.24302700447228354,0.19474131039377035,0.16243881552177553,0.10103272052947432,0.4174471723547737
agreement_with_recorded_expert_action,Unrelated,translation_cosine_similarity,196,0.35259602560531933,0.5430667016115183,0.582260456984634,-0.04874457625096251,0.8510120732645962
paired_language_effect_from_correct,Paraphrase,translation_language_distance,200,0.148509154562012,0.11938057089551361,0.09223018085049442,0.0898289400760327,0.192528679806047
paired_language_effect_from_correct,Paraphrase,rotation_language_distance,200,0.014574060940665578,0.013289977144169098,0.008624938620428114,0.007894064246099588,0.02001076695407773
paired_language_effect_from_correct,Paraphrase,gripper_language_difference,200,0.06627592742443085,0.00450295209884638,0.3450110594942368,0.002728208899498097,0.006906539201736367
paired_language_effect_from_correct,Paraphrase,full_action_language_distance,200,0.20275524235380105,0.12218043610844814,0.3362900494306016,0.09188953155203207,0.1992750636563164
paired_language_effect_from_correct,Contradictory,translation_language_distance,200,0.20865968059770143,0.16346487984373606,0.1542314104344116,0.09961549734042946,0.26686649536814216
paired_language_effect_from_correct,Contradictory,rotation_language_distance,200,0.01957434696202631,0.016345277645416642,0.011898007158293804,0.010964197016792927,0.025961434018395013
paired_language_effect_from_correct,Contradictory,gripper_language_difference,200,0.1748916032910347,0.0047626793384552,0.5568163078415889,0.0022726356983184814,0.009313300251960727
paired_language_effect_from_correct,Contradictory,full_action_language_distance,200,0.3543154315438337,0.16417016950341695,0.5316827273966866,0.10099753962482058,0.30100371441947993
paired_language_effect_from_correct,Unrelated,translation_language_distance,200,0.4634893282795731,0.4328779049877284,0.2883135411124743,0.20274028079998435,0.6935400599649997
paired_language_effect_from_correct,Unrelated,rotation_language_distance,200,0.04233018911694433,0.033534983088860076,0.030910774745503727,0.018886813534709796,0.05596106522581451
paired_language_effect_from_correct,Unrelated,gripper_language_difference,200,0.4793772894144058,0.011957436800002996,0.8475272192609555,0.005644127726554898,0.04155433177947998
paired_language_effect_from_correct,Unrelated,full_action_language_distance,200,0.8063686154782291,0.47922723436126924,0.7730102305701463,0.21806140646731087,1.0821726608087125
